"","SECTION_DESCR","PARAGRAPH_DESCR","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR"
"782","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition (paed)","0913591A0","Powder disc or non-ACBS carbohydrate free formula (0913591)"
"783","Selective preparations","Individually formulated preparations bought in","190201000","Other individually formulated bought in preparations"
"784","Preparations for warts and calluses","Preparations for warts and calluses","1307000M0","Salicylic acid"
"785","Drugs used in diabetes","Antidiabetic drugs","0601023I0","Guar gum"
"786","Antidepressant drugs","Tricyclic and related antidepressant drugs","0403010R0","Lofepramine hydrochloride"
"787","Drugs used in neuromuscular disorders","Skeletal muscle relaxants","1002020T0","Tizanidine hydrochloride"
"788","Corticosteroids (respiratory)","Corticosteroids (respiratory)","0302000C0","Beclometasone dipropionate"
"789","Drugs for genito-urinary disorders","Drugs used in urological pain","0704030A0","Acetohydroxamic acid"
"790","Drugs acting on the ear","Otitis externa","1201010B0","Acetic acid"
"791","Contraceptive Devices","Contraceptive Devices","2104","Contraceptive Devices"
"792","Diuretics","Potassium-sparing diuretics and aldosterone antagonists","0202030Y0","Finerenone"
"793","Oral nutrition","Inherited metabolic disorder - Protein source (paed)","0913227A0","Powder 5g protein equivalent (0913227)"
"794","Anti-infective eye preparations","Antibacterials","1103010Q0","Polymyxin B sulphate"
"795","Oral nutrition","Non-ACBS weight loss aid","0913521A0","Powder OTC milkshake meal replacer (0913521)"
"796","Antiprotozoal drugs","Antimalarials","0504010L0","Mefloquine hydrochloride"
"797","Tubing And Accessories","Tubing And Accessories","2280","Tubing And Accessories"
"798","Antidepressant drugs","Selective serotonin re-uptake inhibitors","0403030P0","Paroxetine hydrochloride"
"799","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040U0","Thymol"
"800","Local preparations for anal and rectal disorders","Soothing haemorrhoidal preparations","010701000","Other soothing haemorrhoidal preparations"
"801","Cervical Collar","Cervical Collar","2017","Cervical Collar"
"802","Emollient and barrier preparations","Barrier preparations","1302020F0","Cod liver oil"
"803","Preparations for warts and calluses","Preparations for warts and calluses","1307000F0","Glutaraldehyde"
"804","Sex Hormones","Male sex hormones and antagonists","060402000","Other male sex hormone and antagonist preparations"
"805","Topical corticosteroids","Topical corticosteroids","1304000N0","Fluocinolone acetonide"
"806","Drugs used in diabetes","Insulin","0601011L0","Insulin Lispro"
"807","Drugs used in parkinsonism and related disorders","Dopaminergic drugs used in parkinsonism","0409010X0","Levodopa/carbidopa/entacapone"
"808","Cromoglycate, leukotriene and phosphodesterase type-4 inhib","Leukotriene receptor antagonists","0303020Z0","Zafirlukast"
"809","General anaesthesia","Antagonists for respiratory depression","1501070G0","Naloxone hydrochloride"
"810","Drugs for genito-urinary disorders","Bladder instillations and urological surgery","0704040C0","Chlorhexidine gluconate"
"811","Drugs used in parkinsonism and related disorders","Antimuscarinic drugs used in parkinsonism","0409020E0","Benzatropine mesilate"
"812","Nitrates, calcium-channel blockers & other antianginal drugs","Peripheral vasodilators and related drugs","0206040AT","Diosmin/hesperidin"
"813","Cytotoxic drugs","Other antineoplastic drugs","0801050CS","Zanubrutinib"
"814","Corticosteroids (endocrine)","Glucocorticoid therapy","0603020L0","Hydrocortisone sodium phosphate"
"815","Enteral nutrition","Tube feed - Standard (paed)","0914021B0","Tube feed 1 kcal/ml (0914021)"
"816","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020G0","Disodium edetate"
"817","Oral nutrition","Non-ACBS condition specific complete infant formula","0913353A0","Powder discontinued soya based formula (0913353)"
"818","Ileostomy Sets","Ileostomy Sets","2365","Ileostomy Sets"
"819","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020AD","House dust mites allergen extract"
"820","Antihistamines, hyposensitisation and allergic emergencies","Allergen immunotherapy","0304020Z0","Reslizumab"
"821","Drugs acting on the oropharynx","Treatment of dry mouth","1203050P0","Pilocarpine hydrochloride"
"822","Oral nutrition","Non-ACBS condition specific complete infant formula","0913381B0","RtS disc condition specific complete infant formula(0913381)"
"823","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020W0","Azelastine hydrochloride"
"824","Cytotoxic drugs","Other antineoplastic drugs","0801050CK","Midostaurin"
"825","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","110802070","Ketorolac trometamol"
"826","Oral nutrition","Non-ACBS ONS - paediatric","0913581B0","Powder 2.4kcal/ml milkshake lower volume (0913581)"
"827","Antibacterial drugs","Some other antibacterials","0501070M0","Fusidic acid"
"828","Preparations for eczema and psoriasis","Preparations for psoriasis","1305020Z0","Cholesterol/simvastatin"
"829","Oral nutrition","ONS - Standard (paed)","0913021C0","RtS 1.5 kcal/g dessert style (milk based) (0913021)"
"830","Analgesics","Antimigraine drugs","0407042L0","Methysergide"
"831","Antibacterial drugs","Antituberculosis drugs","0501090W0","Delamanid"
"832","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010AR","Low protein cooking aids"
"833","Oral nutrition","Non-ACBS low protein food","0913451G0","Food replacer discontinued or OTC rolls/baguettes (0913451)"
"834","Drugs used in diabetes","Antidiabetic drugs","0601021X0","Tolbutamide"
"835","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000P0","Tranexamic acid"
"836","Aromatic inhalations","Aromatic inhalations","030800000","Other aromatic inhalation preparations"
"837","Antibacterial drugs","Aminoglycosides","0501040U0","Tobramycin"
"838","Drugs acting on the oropharynx","Drugs for oral ulceration and inflammation","1203010W0","Betamethasone/Doxycycline/Nystatin"
"839","Treatment of vaginal and vulval conditions","Vaginal and vulval infections","0702020V0","Povidone iodine"
"840","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000F0","Cyclizine hydrochloride"
"841","Topical corticosteroids","Topical corticosteroids","1304000Y0","Mometasone furoate"
"842","Antidepressant drugs","Other antidepressant drugs","0403040F0","Flupentixol hydrochloride"
"843","Vaccines and antisera","Vaccines and antisera","1404000AJ","Influenza H1N1(Split viron, inactivated, adjuvanted)"
"844","Enteral nutrition","Tube feed - Fortifier condition specific","0914052A0","Tube feed additive 0.5 kcal/ml high fibre liquid (0914052)"
"845","Anti-infective skin preparations","Antifungal preparations","1310020D0","Benzoic acid"
"846","Antiepileptic drugs","Control of epilepsy","0408010AB","Tiagabine"
"847","Local anaesthetics","Local anaesthetics","1107000M0","Oxybuprocaine hydrochloride"
"848","Antibacterial drugs","Aminoglycosides","0501040R0","Netilmicin sulfate"
"849","Drugs used in diabetes","Antidiabetic drugs","0601023AL","Dapagliflozin/metformin"
"850","Analgesics","Antimigraine drugs","0407041M0","Naratriptan hydrochloride"
"851","Oral nutrition","ONS - Standard","0913011U0","RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)"
"852","Oral nutrition","Thickener","0913161A0","Powder thickener - gum based (0913161)"
"853","Anti-infective eye preparations","Antibacterials","1103010P0","Natamycin"
"854","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030F0","Penicillamine"
"855","Drugs used in psychoses and related disorders","Antipsychotic drugs","0402010U0","Sulpiride"
"856","Antiplatelet drugs","Antiplatelet drugs","0209000X0","Eptifibatide"
"857","Hypothalamic and pituitary hormones and anti, oestrogens","Hypothalamic & anterior pituitary hormone & antioestrogens","0605010AC","Somatorelin"
"858","Drugs for genito-urinary disorders","Drugs for urinary retention","0704010U0","Tamsulosin hydrochloride"
"859","Oral nutrition","Non-ACBS macronutrient SfI metabolic condition","0913445A0","Pdr disc/non ACBS single L-amino acid supplement (0913445)"
"860","Skin Protectors","Skin Protectors","2385","Skin Protectors"
"861","Corticosteroids and other anti-inflammatory preparations","Other anti-inflammatory preparations","1104020Z0","Olopatadine"
"862","Antibacterial drugs","Some other antibacterials","0501070AB","Nitazoxanide"
"863","Cytotoxic drugs","Drugs for cytotoxic-induced side-effects","0801000Y0","Dexrazoxane"
"864","Drugs used in diabetes","Antidiabetic drugs","0601023AS","Albiglutide"
"865","Hypertension and heart failure","Renin-angiotensin system drugs","0205051V0","Trandolapril with calcium channel blocker"
"866","Hypertension and heart failure","Alpha-adrenoceptor blocking drugs","0205040V0","Terazosin hydrochloride"
"867","Topical circulatory preparations","Topical circulatory preparations","1314000H0","Heparinoid"
"868","Drugs affecting intestinal secretions","Drugs affecting biliary composition and flow","0109010R0","Other preparations for biliary disorders"
"869","Contraceptives","Progestogen-only contraceptives","0703021P0","Norgestrel"
"870","Miscellaneous ophthalmic preparations","Ocular diagnostic & peri-operative prepn & photodynamic tt","1108020AC","Pegaptanib sodium"
"871","Antihistamines, hyposensitisation and allergic emergencies","Antihistamines","0304010AB","Desloratadine"
"872","Other endocrine drugs","Drugs affecting gonadotrophins","0607020P0","Nafarelin acetate"
"873","Analgesics","Opioid analgesics","040702020","Morphine tartrate and cyclizine tartrate"
"874","Anticoagulants and protamine","Oral anticoagulants","0208020AA","Edoxaban"
"875","Oral nutrition","Non-ACBS condition specific complete infant formula","0913355A0","Powder discontinued amino acid formula (0913355)"
"876","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","1309000W0","Finasteride"
"877","Oral nutrition","Non-ACBS gluten free food","0913461F0","Specialist food replacer OTC or disc pasta (0913461)"
"878","Acne and rosacea","Topical preparation for rosacea","1306030B0","Ivermectin"
"879","Emollients","Emollients","2122","Emollients"
"880","Shampoos and other preparations for scalp and hair conditions","Shampoo and other preparations for scalp and hair conditions","130900000","Other shampoo and scalp preparations"
"881","Drugs for genito-urinary disorders","Drugs for urinary frequency enuresis and incontinence","0704020J0","Oxybutynin"
"882","Antibacterial drugs","Antituberculosis drugs","0501090K0","Isoniazid"
"883","Drugs acting on the oropharynx","Mouth-washes, gargles and dentifrices","1203040P0","Sodium chloride"
"884","Oral nutrition","Inherited metabolic disorder - Protein source","0913205M0","Ready to serve 15g protein equivalent (0913205)"
"885","Drugs used in diabetes","Antidiabetic drugs","0601023AN","Empagliflozin"
"886","Drugs used in nausea and vertigo","Drugs used in nausea and vertigo","0406000R0","Nabilone"
"887","Drugs used in rheumatic diseases and gout","Rheumatic disease suppressant drugs","1001030A0","Auranofin"
"888","Oral nutrition","Non-ACBS ONS","0913311B0","Powder OTC or discontinued soup (0913311)"
"889","Contraceptives","Emergency contraception","0703050A0","Levonorgestrel"
"890","Laxatives","Stimulant laxatives","0106020U0","Phenolphthalein and rhubarb"
"891","Oral nutrition","Non-ACBS dietary supplement for early alzheimers disease","0913551A0","RtS OTC dietary supp for early alzheimers disease (0913551)"
"892","Cytotoxic drugs","Other antineoplastic drugs","0801050W0","Razoxane"
"893","Hypertension and heart failure","Renin-angiotensin system drugs","0205051N0","Perindopril erbumine with diuretic"
"894","Oral nutrition","Non-ACBS gluten free food","0913461A0","Specialist food replacer OTC/disc breakfast cereal (0913461)"
"895","Antifibrinolytic drugs and haemostatics","Antifibrinolytic drugs and haemostatics","0211000H0","Aprotinin"
"896","Oral nutrition","ONS - Dysphagia specific","0913051C0","RtS 2.4 kcal/ml dessert style (milk based) (0913051)"
"897","Antiviral drugs","HIV infection","0503010AK","Darunavir/cobicistat"
"898","Topical local anaesthetics and antipruritics","Topical local anaesthetics and antipruritics","1303000F0","Doxepin hydrochloride"
"899","Oral nutrition","Ketogenic diet","0913181K0","Powder 3:1 formula (0913181)"
"900","Oral nutrition","Non-ACBS Infant formula - Condition specific","0913662A0","Powder soya based formula"
"901","Drugs acting on the ear","Otitis externa","120101020","Other aural preparations"
"902","Anticoagulants and protamine","Oral anticoagulants","0208020V0","Warfarin sodium"
"903","Drugs affecting intestinal secretions","Drugs affecting biliary composition and flow","0109010U0","Ursodeoxycholic acid"
"904","Vaccines and antisera","Vaccines and antisera","1404000X0","Meningococcal A + C + W135 + Y vaccine"
"905","Local preparations for anal and rectal disorders","Rectal sclerosants","0107030P0","Phenol"
"906","General anaesthesia","Neuromuscular blocking drugs","1501050P0","Suxamethonium chloride"
"907","Antiepileptic drugs","Drugs used in status epilepticus","0408020T0","Phenytoin sodium"
"908","Minerals","Calcium and magnesium","090501100","Other calcium supplement preparations"
"909","Oral nutrition","Infant formula - Condition specific","0913104A0","Ready to serve infant formula, high energy (0913104)"
"910","Mucolytics","Mucolytics","0307000S0","Ivacaftor"
"911","Oral nutrition (OLD - DO NOT USE)","Foods for special diets","0904010Q0","Gluten free pastas"
"912","CNS stimulants and drugs used for ADHD","CNS stimulants and drugs used for ADHD","0404000U0","Lisdexamfetamine dimesylate"
"913","Drugs used in diabetes","Antidiabetic drugs","0601021E0","Chlorpropamide"
"914","General anaesthesia","Sedative and analgesic peri-operative drgs","1501043F0","Fentanyl citrate"
"915","Diuretics","Thiazides and related diuretics","0202010X0","Polythiazide"
"916","Fluids and electrolytes","Oral preparation for fluid and electrolyte imbalance","0902011L0","Calcium polystyrene sulfonate"
"917","Analgesics","Opioid analgesics","0407020Z0","Oxycodone"
